url;nazwa;lokalizacja
"http://knajpy.krakow.pl/lokal/47";"Siesta Cafe";"ul. Stolarska 6"
"http://knajpy.krakow.pl/lokal/129";"Singer";"ul. Estery/róg ul. Izaaka"
"http://knajpy.krakow.pl/lokal/351";"Smocza Jama";"ul. Miodowa 43"
"http://knajpy.krakow.pl/lokal/241";"SomePlace Else";"ul. Powiœle 7"
"http://knajpy.krakow.pl/lokal/323";"Spokój";"Ul. Bracka 3-5"
"http://knajpy.krakow.pl/lokal/283";"Sesja";"ul. Warszawska 15"
"http://knajpy.krakow.pl/lokal/273";"Shisha Club";"Ma³y Rynek 2"
"http://knajpy.krakow.pl/lokal/222";"Sport Bar";"ul. Rakowicka 17"
"http://knajpy.krakow.pl/lokal/268";"SHOWTIME";"Rynek G³ówny 28"
"http://knajpy.krakow.pl/lokal/319";"Sports Pub";"al. 29 Listopada 57"
"http://knajpy.krakow.pl/lokal/349";"Sports Pub";"ul. Grodzka 50"
"http://knajpy.krakow.pl/lokal/334";"Square Pub";"ul. Grodzka 51"
"http://knajpy.krakow.pl/lokal/132";"Œródziemie";"pl. Wszystkich Œwiêtych 8"
"http://knajpy.krakow.pl/lokal/187";"Stalowe Magnolie";"ul. Œw. Jana 15"
"http://knajpy.krakow.pl/lokal/276";"Studio";"ul. Budryka 4"
"http://knajpy.krakow.pl/lokal/90";"Studnia ¿yczeñ";"pl. Nowy 6"
"http://knajpy.krakow.pl/lokal/116";"Szara Resto & Bar";"Rynek G³ówny 6"
"http://knajpy.krakow.pl/lokal/22";"Tajemniczy ogród";"ul. Bracka 3-5"
"http://knajpy.krakow.pl/lokal/124";"Tower Pub";"ul. Grodzka 4"
"http://knajpy.krakow.pl/lokal/168";"Trambar";"ul. Stolarska 11"
"http://knajpy.krakow.pl/lokal/143";"Transylwania";"ul. Szeroka 9"
"http://knajpy.krakow.pl/lokal/252";"Tygiel Pub";"ul. Senacka 9"
"http://knajpy.krakow.pl/lokal/141";"U Kacpra";"ul. S³awkowska 2"
"http://knajpy.krakow.pl/lokal/75";"U Louisa";"Rynek G³ówny 13"
"http://knajpy.krakow.pl/lokal/136";"Ulica Krokodyli";"ul. Szeroka 30"
"http://knajpy.krakow.pl/lokal/244";"Rdza";"ul. Bracka 3-5"
"http://knajpy.krakow.pl/lokal/115";"Re";"ul. Krzy¿a 4"
"http://knajpy.krakow.pl/lokal/218";"Vesuvio Pizzeria - Restauracja";"ul. Floriañska 38"
"http://knajpy.krakow.pl/lokal/135";"Warsztat Café";"ul. Izaaka 3"
"http://knajpy.krakow.pl/lokal/62";"Winiarnia-Galeria Atelier";"pl. Jana Matejki 7"
"http://knajpy.krakow.pl/lokal/280";"Reaktywacja";"ul. Grodzka 34"
"http://knajpy.krakow.pl/lokal/239";"Rêce i Nogi Club";"ul. Szewska 14"
"http://knajpy.krakow.pl/lokal/67";"Restauracja Nana";"pl. Jana Matejki 3"
"http://knajpy.krakow.pl/lokal/159";"La Habana";"ul. Miodowa 22"
"http://knajpy.krakow.pl/lokal/108";"Les Couleurs / Kolory";"ul. Estery 10"
"http://knajpy.krakow.pl/lokal/237";"Kamienna Jazz Club";"ul. Kamienna 17 (piwnica hali sportowej PK)"
"http://knajpy.krakow.pl/lokal/86";"Karlik - Klub studencki AGH";"ul. Reymonta 17"
"http://knajpy.krakow.pl/lokal/337";"Katedra";"ul. Poselska 9"
"http://knajpy.krakow.pl/lokal/296";"Kawiarnia Arka";"Al. 29 Listopada 50"
"http://knajpy.krakow.pl/lokal/269";"Panorama Klub";"Zwierzyniecka 50 (d.h. Jubilat ostatnie pietro)"
"http://knajpy.krakow.pl/lokal/99";"Paparazzi The Original Cafe Bar";"ul. Miko³ajska 9"
"http://knajpy.krakow.pl/lokal/154";"Pauza";"ul. Floriañska 18/3"
"http://knajpy.krakow.pl/lokal/181";"Nic nowego";"ul. Œw. Krzy¿a 15"
"http://knajpy.krakow.pl/lokal/92";"Non Iron - Rugby Pub";"ul. Œw. Marka 27"
"http://knajpy.krakow.pl/lokal/305";"Nordic Pub";"ul. œw. Anny 5"
"http://knajpy.krakow.pl/lokal/311";"off.ceNtrum";"ul. Wielopole 15/4 - II pietro"
"http://knajpy.krakow.pl/lokal/336";"Wrêga";"ul. Józefa 17"
"http://knajpy.krakow.pl/lokal/243";"Wyspiañski - Restauracja-Klub Plastyków";"ul. £obzowska 3"
"http://knajpy.krakow.pl/lokal/89";"¯aczek Klub studencki";"al. 3 Maja 5"
"http://knajpy.krakow.pl/lokal/240";"Zaraz Wracam";"ul. Bo¿ego Cia³a 11"
"http://knajpy.krakow.pl/lokal/345";"Restauracja Pasieka";"ul. Miodowa 25"
"http://knajpy.krakow.pl/lokal/352";"Retro Club";"ul. Bo¿ego Cia³a 14"
"http://knajpy.krakow.pl/lokal/79";"Rotunda Centrum Kultury";"ul. Oleandry 1"
"http://knajpy.krakow.pl/lokal/328";"Libido";"ul. Warszauera 10"
"http://knajpy.krakow.pl/lokal/281";"Lizak";"ul. Pijarska 11"
"http://knajpy.krakow.pl/lokal/73";"Kawiarnia Bambusowa";"Rynek G³ówny 27"
"http://knajpy.krakow.pl/lokal/133";"Kawiarnia Naukowa";"ul. Jakuba 29-31"
"http://knajpy.krakow.pl/lokal/359";"Kazamaty";"ul. Dietla 50"
"http://knajpy.krakow.pl/lokal/267";"Kitsch";"ul. Wielopole 15/4 II piêtro"
"http://knajpy.krakow.pl/lokal/266";"Pergamin";"ul. Bracka 3-5"
"http://knajpy.krakow.pl/lokal/51";"Piec Art (Acoustic Jazz Club)";"ul. Szewska 12"
"http://knajpy.krakow.pl/lokal/178";"Piêkny Pies";"ul. S³awkowska 6a/1"
"http://knajpy.krakow.pl/lokal/32";"Oldsmobil Drink Bar & Pub";"ul. Œw. Tomasza 31"
"http://knajpy.krakow.pl/lokal/332";"Omerta";"ul. Kupa 3"
"http://knajpy.krakow.pl/lokal/354";"Zaraz Wracam Tu";"ul. Miodowa 53"
"http://knajpy.krakow.pl/lokal/184";"Ryba Babel";"ul. Piastowska 47"
"http://knajpy.krakow.pl/lokal/61";"Loch Ness";"ul. Warszawska 15-17"
"http://knajpy.krakow.pl/lokal/144";"Lokator";"ul. Krakowska 10 (wejœcie od ul. Meiselsa)"
"http://knajpy.krakow.pl/lokal/355";"Klub Fabryka";"ul. Zab³ocie 23"
"http://knajpy.krakow.pl/lokal/176";"Klub Kulturalny";"ul. Szewska 25"
"http://knajpy.krakow.pl/lokal/248";"Klub Obsesja";"ul. Floriañska 24"
"http://knajpy.krakow.pl/lokal/70";"Pierwszy lokal na Stolarskiej po lewej stronie id¹c od Ma³ego Rynku";"ul. Stolarska 6/1"
"http://knajpy.krakow.pl/lokal/333";"Playground";"ul. Wielopole 15"
"http://knajpy.krakow.pl/lokal/46";"Pod Amorem - Pizzeria i Winiarnia";"ul. Œw. Tomasza 7"
"http://knajpy.krakow.pl/lokal/170";"Pod Z³ot¹ Pip¹";"ul. Floriañska 30"
"http://knajpy.krakow.pl/lokal/321";"Magiel na Kazimierzu";"Ul. Meiselsa 9"
"http://knajpy.krakow.pl/lokal/340";"Masada";"ul. Skawiñska 2"
"http://knajpy.krakow.pl/lokal/145";"£ubu-dubu Klubokawiarnia";"ul. Wielopole 15"
"http://knajpy.krakow.pl/lokal/316";"Kolanko No 6";"Ul. Józefa 17"
"http://knajpy.krakow.pl/lokal/160";"Krakowska Piwnica Artystyczno - Muzyczna Faust";"Rynek G³ówny 6"
"http://knajpy.krakow.pl/lokal/78";"Krawat Klub";"Rynek G³ówny 29"
"http://knajpy.krakow.pl/lokal/76";"Podium";"ul. Bracka 4"
"http://knajpy.krakow.pl/lokal/55";"Polibuda Pub";"ul. Warszawska 17"
"http://knajpy.krakow.pl/lokal/312";"Portofino";"ul. W¹ska 2"
